Epoch 1, Train Loss: 14.9397, Valid Loss: 10.3519, SSIM MAE: 599.6464, Size MAE: 99.9446, Best Vloss: inf, Best SSIM MAE: inf, Best Size MAE: inf
Epoch 74, Train Loss: 3.0590, Valid Loss: 1.8114, SSIM MAE: 68.0103, Size MAE: 52.8103, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 75, Train Loss: 3.0151, Valid Loss: 1.6708, SSIM MAE: 61.3281, Size MAE: 52.4417, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 76, Train Loss: 3.0155, Valid Loss: 1.7543, SSIM MAE: 67.0650, Size MAE: 52.7205, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 77, Train Loss: 3.0553, Valid Loss: 1.6523, SSIM MAE: 59.8558, Size MAE: 52.3189, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 78, Train Loss: 3.0449, Valid Loss: 1.7413, SSIM MAE: 65.6220, Size MAE: 52.4909, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 79, Train Loss: 3.0485, Valid Loss: 1.7113, SSIM MAE: 63.5114, Size MAE: 52.4591, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 80, Train Loss: 3.0217, Valid Loss: 1.7545, SSIM MAE: 64.9833, Size MAE: 52.6714, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 81, Train Loss: 3.0174, Valid Loss: 1.7320, SSIM MAE: 64.3356, Size MAE: 52.6101, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 82, Train Loss: 3.0297, Valid Loss: 1.7467, SSIM MAE: 65.7846, Size MAE: 52.6145, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 83, Train Loss: 3.0101, Valid Loss: 1.7317, SSIM MAE: 64.9998, Size MAE: 52.6113, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 84, Train Loss: 2.9945, Valid Loss: 1.6956, SSIM MAE: 61.3452, Size MAE: 52.4666, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 85, Train Loss: 3.0004, Valid Loss: 1.6943, SSIM MAE: 62.0709, Size MAE: 52.5892, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 86, Train Loss: 3.0635, Valid Loss: 1.6457, SSIM MAE: 60.1875, Size MAE: 52.3892, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 87, Train Loss: 2.9932, Valid Loss: 1.6666, SSIM MAE: 60.1427, Size MAE: 52.4332, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 88, Train Loss: 3.0024, Valid Loss: 1.6641, SSIM MAE: 59.9311, Size MAE: 52.2994, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 89, Train Loss: 3.0009, Valid Loss: 1.7814, SSIM MAE: 67.6123, Size MAE: 52.9535, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 90, Train Loss: 2.9900, Valid Loss: 1.8234, SSIM MAE: 71.3659, Size MAE: 52.8281, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 91, Train Loss: 3.0161, Valid Loss: 1.7585, SSIM MAE: 65.9815, Size MAE: 52.6590, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 92, Train Loss: 3.0364, Valid Loss: 1.7280, SSIM MAE: 62.0290, Size MAE: 52.5674, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 93, Train Loss: 3.0232, Valid Loss: 1.8188, SSIM MAE: 68.6069, Size MAE: 52.9931, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 94, Train Loss: 2.9797, Valid Loss: 1.8013, SSIM MAE: 67.7393, Size MAE: 53.0604, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 95, Train Loss: 3.0255, Valid Loss: 1.6884, SSIM MAE: 62.0749, Size MAE: 52.5504, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 96, Train Loss: 3.0958, Valid Loss: 1.7158, SSIM MAE: 63.5561, Size MAE: 52.7988, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 97, Train Loss: 3.0017, Valid Loss: 1.7816, SSIM MAE: 67.3456, Size MAE: 52.9666, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 98, Train Loss: 3.0441, Valid Loss: 1.7581, SSIM MAE: 66.4604, Size MAE: 52.8360, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 99, Train Loss: 3.0698, Valid Loss: 1.7353, SSIM MAE: 64.8290, Size MAE: 52.6426, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 100, Train Loss: 2.9908, Valid Loss: 1.8064, SSIM MAE: 69.2561, Size MAE: 52.8362, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 101, Train Loss: 2.9959, Valid Loss: 1.8197, SSIM MAE: 69.2827, Size MAE: 52.8272, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 102, Train Loss: 3.0489, Valid Loss: 1.7301, SSIM MAE: 64.3850, Size MAE: 52.5920, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 103, Train Loss: 3.0344, Valid Loss: 1.8046, SSIM MAE: 68.0791, Size MAE: 52.9240, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 104, Train Loss: 3.0213, Valid Loss: 1.7175, SSIM MAE: 64.1619, Size MAE: 52.6823, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 105, Train Loss: 3.0369, Valid Loss: 1.7222, SSIM MAE: 63.8737, Size MAE: 52.7284, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 106, Train Loss: 3.0184, Valid Loss: 1.7613, SSIM MAE: 66.3928, Size MAE: 52.9187, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 107, Train Loss: 3.0234, Valid Loss: 1.8146, SSIM MAE: 68.4614, Size MAE: 52.9999, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 108, Train Loss: 3.0428, Valid Loss: 1.7377, SSIM MAE: 65.2618, Size MAE: 52.8009, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 109, Train Loss: 3.0416, Valid Loss: 1.7850, SSIM MAE: 67.7597, Size MAE: 52.9275, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 110, Train Loss: 3.0198, Valid Loss: 1.8891, SSIM MAE: 70.1784, Size MAE: 53.0960, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 111, Train Loss: 3.0061, Valid Loss: 1.8147, SSIM MAE: 69.6039, Size MAE: 52.9396, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 112, Train Loss: 3.0651, Valid Loss: 1.8386, SSIM MAE: 70.5277, Size MAE: 52.9906, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
Epoch 113, Train Loss: 3.0189, Valid Loss: 1.8537, SSIM MAE: 71.8780, Size MAE: 53.2153, Best Vloss: 1.4266, Best SSIM MAE: 46.047184, Best Size MAE: 51.618225
